iter	Logloss
0	0.6781512148
1	0.6642021276
2	0.6491728625
3	0.6373391741
4	0.6248769131
5	0.6134980999
6	0.5994606354
7	0.5878592569
8	0.5795150425
9	0.570585783
10	0.5628970067
11	0.5552342376
12	0.548331783
13	0.5407480874
14	0.5341253602
15	0.5283981393
16	0.5220840901
17	0.5173273939
18	0.5085132171
19	0.5035092746
20	0.4997972679
21	0.4944931845
22	0.4901065794
23	0.4850956798
24	0.4812806823
25	0.4753429716
26	0.4708484762
27	0.4667637533
28	0.4613215059
29	0.4574811542
30	0.452644464
31	0.4488363259
32	0.4449648811
33	0.4405202905
34	0.4366627559
35	0.4341741075
36	0.4298058489
37	0.4263202598
38	0.423335554
39	0.420535384
40	0.4185375461
41	0.4153504127
42	0.4119134152
43	0.4090983237
44	0.4058631586
45	0.4022285356
46	0.4003140939
47	0.3971777812
48	0.3955926742
49	0.3914409785
50	0.3893598297
51	0.3858652401
52	0.3842211067
53	0.3810974643
54	0.3785515926
55	0.3746504031
56	0.370699886
57	0.3684774723
58	0.3648606781
59	0.362434908
60	0.3581994935
61	0.3547164008
62	0.3520307763
63	0.3499692727
64	0.3474255564
65	0.3451608097
66	0.3429568393
67	0.3399109719
68	0.3376685924
69	0.3339975739
70	0.3315178772
71	0.329380361
72	0.3271370366
73	0.3257160352
74	0.3218877628
75	0.3192303513
76	0.3165478711
77	0.3134487708
78	0.3119290863
79	0.3096953649
80	0.3082451237
81	0.3065053936
82	0.3047435358
83	0.3030570047
84	0.300246722
85	0.2979607281
86	0.2950103685
87	0.2920944479
88	0.2894304825
89	0.2857795818
90	0.284917892
91	0.2817893688
92	0.2790250243
93	0.2752219745
94	0.2729754085
95	0.2709345639
96	0.2680748125
97	0.2672676823
98	0.2662017468
99	0.2643263012
100	0.2616336001
101	0.25965859
102	0.2568930288
103	0.2541693349
104	0.2529666221
105	0.2508094241
106	0.249473806
107	0.2478285376
108	0.245957277
109	0.243851807
110	0.2412172196
111	0.2396781581
112	0.2381305625
113	0.2363878071
114	0.2345027331
115	0.2334971198
116	0.2313681185
117	0.2293505941
118	0.22707455
119	0.2257053053
120	0.2243398133
121	0.2230908913
122	0.2213933968
123	0.2201768728
124	0.2182304405
125	0.2171455739
126	0.2159825776
127	0.2144563714
128	0.2132585439
129	0.2119589201
130	0.2106553996
131	0.2095067866
132	0.208496644
133	0.2068498053
134	0.2056653987
135	0.2048326016
136	0.2042756204
137	0.2034222682
138	0.202310681
139	0.2009298458
140	0.1997096972
141	0.1988841113
142	0.1973624377
143	0.1966919648
144	0.1948079517
145	0.193814145
146	0.192279919
147	0.191511292
148	0.1899285082
149	0.1885780597
150	0.1872335325
151	0.1862975047
152	0.1849610621
153	0.1834365504
154	0.1824412591
155	0.1813788354
156	0.1803884993
157	0.1792580937
158	0.1781812095
159	0.1773416772
160	0.1764984414
161	0.1757749003
162	0.1746094625
163	0.1732648145
164	0.1720616552
165	0.1709200497
166	0.1702889888
167	0.1695219767
168	0.1680388429
169	0.1669675324
170	0.1653020104
171	0.164396996
172	0.1634814766
173	0.1624131773
174	0.161377123
175	0.1601724408
176	0.1591910492
177	0.1579002499
178	0.1569792662
179	0.156064438
180	0.15511029
181	0.1537747439
182	0.1530567075
183	0.1524441916
184	0.1517905893
185	0.1506117313
186	0.1493181526
187	0.1484026186
188	0.1478309774
189	0.1467983596
190	0.1461399331
191	0.1452911218
192	0.1437703905
193	0.1431846582
194	0.1422610544
195	0.1416207987
196	0.1405682287
197	0.1395190813
198	0.1384399187
199	0.1376302615
200	0.1364774766
201	0.1355513339
202	0.1347027893
203	0.1340789314
204	0.1335974139
205	0.1325851849
206	0.1318175355
207	0.131254876
208	0.1305190008
209	0.1297949252
210	0.129250282
211	0.1285729446
212	0.1276041206
213	0.126771202
214	0.1261341455
215	0.1253798381
216	0.1247757574
217	0.1244329211
218	0.1238697266
219	0.1228093134
220	0.122245777
221	0.1215316785
222	0.1206400972
223	0.1198590667
224	0.1194284528
225	0.1190690252
226	0.1185116105
227	0.1179335535
228	0.1173602883
229	0.1166219793
230	0.115964958
231	0.1153903496
232	0.114786516
233	0.114434826
234	0.1138877138
235	0.1134889589
236	0.1129724797
237	0.1122448616
238	0.1117985714
239	0.1112750406
240	0.1108592746
241	0.110191006
242	0.1097659613
243	0.1092919319
244	0.1085829253
245	0.1077786105
246	0.1068817084
247	0.1065930706
248	0.1061000244
249	0.1055758684
250	0.1051044028
251	0.1044515715
252	0.1034207778
253	0.1027184827
254	0.1021174235
255	0.1013978308
256	0.1007931258
257	0.1002763406
258	0.0998639879
259	0.09948903677
260	0.09915032132
261	0.09865266851
262	0.09821668546
263	0.09781825481
264	0.09742526244
265	0.09698304288
266	0.09654405771
267	0.09620551183
268	0.09571595749
269	0.09517654555
270	0.09479948108
271	0.09414115298
272	0.09371558395
273	0.09298991837
274	0.0924750592
275	0.09196869504
276	0.09155412849
277	0.09102106579
278	0.09053555383
279	0.08968106399
280	0.08920172493
281	0.08876904768
282	0.08836550904
283	0.08802083374
284	0.08757334739
285	0.08719232941
286	0.08682599868
287	0.08654207377
288	0.08623669177
289	0.08578105485
